plano_orcamentario_nome,instrumento_inicial,instrumento_inicial_gerado,Compara
CORONAVIRUS (COVID-19),CORONAVIRUS (COVID-19),MP nº 929/2020,FALSE
CORONAVIRUS (COVID-19) - REGRA DE OURO,CORONAVIRUS (COVID-19) - REGRA DE OURO,MP nº 929/2020,FALSE
CORONAVIRUS (COVID19),CORONAVIRUS (COVID19),MP nº 929/2020,FALSE
CORONAVIRUS (COVID19) - REGRA DE OURO,CORONAVIRUS (COVID19) - REGRA DE OURO,MP nº 929/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 202 - SERVICOS DE TECNOLOGIA DA INFORMACAO PARA PAGAMENTO DO BENEFICIO EMERGENCIAL","COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 202 - SERVICOS DE TECNOLOGIA DA INFORMACAO PARA PAGAMENTO DO BENEFICIO EMERGENCIAL",MP nº 929/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 2021 - BENEFICIO EMERGENCIAL DE MANUTENCAO DO EMPREGO E DA RENDA","COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 2021 - BENEFICIO EMERGENCIAL DE MANUTENCAO DO EMPREGO E DA RENDA",MP nº 1037/2021,FALSE
"COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 2021 - SERVICOS DE CALL-CENTER E TELEFONIA PARA ATENDIMENTO AOS BENEFICIARIOS DO BENEFICIO EMERGENCIAL","COVID-19 - MEDIDA PROVISORIA N. XXX, DE XX DE ABRIL DE 2021 - SERVICOS DE CALL-CENTER E TELEFONIA PARA ATENDIMENTO AOS BENEFICIARIOS DO BENEFICIO EMERGENCIAL",MP nº 1037/2021,FALSE
"COVID-19 - MEDIDA PROVISORIA N. XXX,DE XX DE ABRIL DE 2021 - SERVICOS BANCARIOS PARA PAGAMENTO DO BENEFICIO EMERGENCIAL","COVID-19 - MEDIDA PROVISORIA N. XXX,DE XX DE ABRIL DE 2021 - SERVICOS BANCARIOS PARA PAGAMENTO DO BENEFICIO EMERGENCIAL",MP nº 1037/2021,FALSE
ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS - DESPESAS DIVERSAS,ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS - DESPESAS DIVERSAS,Lei nº 13.982/2020,FALSE
ESTACIONAMENTO E PERMANENCIA DE AERONAVES DE EMPRESAS NACIONAIS DE TRANSPORTE AEREO REGULAR DE PASSAGEIROS - COVID-19 - DESPESAS DIVERSAS,ESTACIONAMENTO E PERMANENCIA DE AERONAVES DE EMPRESAS NACIONAIS DE TRANSPORTE AEREO REGULAR DE PASSAGEIROS - COVID-19 - DESPESAS DIVERSAS,MP nº 929/2020,FALSE
IMPLEMENTACAO DE PLANO DE CONTINGENCIAS DA ANVISA - COVID-19,IMPLEMENTACAO DE PLANO DE CONTINGENCIAS DA ANVISA - COVID-19,MP nº 1037/2021,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",MP nº 1001/2020,MP nº 1015/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",MP nº 1004/2020,MP nº 1002/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",MP nº 1007/2020,MP nº 1002/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 1.008, DE 26 DE OUTUBRO DE 2020",MP nº 1008/2020,MP nº 1008/2020,TRUE
"COVID - 19 - MEDIDA PROVISORIA N. 1.015, DE 17 DE DEZEMBRO DE 2020 - AQUISICAO DE VACINAS E OUTRAS DESPESAS ASSOCIADAS A IMUNIZACAO",MP nº 1015/2020,MP nº 1015/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",MP nº 1032/2021,MP nº 1032/2021,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.037, DE 18 DE MARCO DE 2021",MP nº 1037/2021,MP nº 1037/2021,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.038, DE 18 DE MARCO DE 2021",MP nº 1038/2021,MP nº 1038/2021,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.038, DE 18 DE MARCO DE 2021 - OPERACIONALIZACAO DO PAGAMENTO DE AUXILIO EMERGENCIAL 2021",MP nº 1038/2021,MP nº 1038/2021,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",MP nº 1041/2021,MP nº 1041/2021,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 1.043, DE 16 DE ABRIL DE 2021",MP nº 1043/2021,MP nº 1041/2021,FALSE
"COVID 19 - MEDIDA PROVISORIA N. 921, DE 7 DE FEVEREIRO DE 2020",MP nº 921/2020,MP nº 921/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 924, DE 13 DE MARCO DE 2020",MP nº 924/2020,MP nº 943/2020,FALSE
"MEDIDA PROVISORIA N. 924, DE 13/03/2020",MP nº 924/2020,MP nº 943/2020,FALSE
"COVID 19 - MEDIDA PROVISORIA N. 929, DE 25 DE MARCO DE 2020 - EIXO LOGISTICO - OPERACIONAL - EMCFA",MP nº 929/2020,MP nº 929/2020,TRUE
