"";"Rubrica";"Data";"Valor"
"1";"5. PRIMÁRIO GOVERNO CENTRAL";1997-01-01;-978
"2";"5. PRIMÁRIO GOVERNO CENTRAL";1997-02-01;648
"3";"5. PRIMÁRIO GOVERNO CENTRAL";1997-03-01;1625
"4";"5. PRIMÁRIO GOVERNO CENTRAL";1997-04-01;1524
"5";"5. PRIMÁRIO GOVERNO CENTRAL";1997-05-01;191
"6";"5. PRIMÁRIO GOVERNO CENTRAL";1997-06-01;103
"7";"5. PRIMÁRIO GOVERNO CENTRAL";1997-07-01;-108
"8";"5. PRIMÁRIO GOVERNO CENTRAL";1997-08-01;1587
"9";"5. PRIMÁRIO GOVERNO CENTRAL";1997-09-01;-696
"10";"5. PRIMÁRIO GOVERNO CENTRAL";1997-10-01;-769
"11";"5. PRIMÁRIO GOVERNO CENTRAL";1997-11-01;276
"12";"5. PRIMÁRIO GOVERNO CENTRAL";1997-12-01;-1602
"13";"5. PRIMÁRIO GOVERNO CENTRAL";1998-01-01;551
"14";"5. PRIMÁRIO GOVERNO CENTRAL";1998-02-01;279
"15";"5. PRIMÁRIO GOVERNO CENTRAL";1998-03-01;2344
"16";"5. PRIMÁRIO GOVERNO CENTRAL";1998-04-01;1788
"17";"5. PRIMÁRIO GOVERNO CENTRAL";1998-05-01;-58
"18";"5. PRIMÁRIO GOVERNO CENTRAL";1998-06-01;-1842
"19";"5. PRIMÁRIO GOVERNO CENTRAL";1998-07-01;-26
"20";"5. PRIMÁRIO GOVERNO CENTRAL";1998-08-01;5748
"21";"5. PRIMÁRIO GOVERNO CENTRAL";1998-09-01;-738
"22";"5. PRIMÁRIO GOVERNO CENTRAL";1998-10-01;-1467
"23";"5. PRIMÁRIO GOVERNO CENTRAL";1998-11-01;-1159
"24";"5. PRIMÁRIO GOVERNO CENTRAL";1998-12-01;2158
"25";"5. PRIMÁRIO GOVERNO CENTRAL";1999-01-01;760
"26";"5. PRIMÁRIO GOVERNO CENTRAL";1999-02-01;1571
"27";"5. PRIMÁRIO GOVERNO CENTRAL";1999-03-01;4507
"28";"5. PRIMÁRIO GOVERNO CENTRAL";1999-04-01;2510
"29";"5. PRIMÁRIO GOVERNO CENTRAL";1999-05-01;-651
"30";"5. PRIMÁRIO GOVERNO CENTRAL";1999-06-01;3813
"31";"5. PRIMÁRIO GOVERNO CENTRAL";1999-07-01;2157
"32";"5. PRIMÁRIO GOVERNO CENTRAL";1999-08-01;2643
"33";"5. PRIMÁRIO GOVERNO CENTRAL";1999-09-01;3518
"34";"5. PRIMÁRIO GOVERNO CENTRAL";1999-10-01;506
"35";"5. PRIMÁRIO GOVERNO CENTRAL";1999-11-01;785
"36";"5. PRIMÁRIO GOVERNO CENTRAL";1999-12-01;-1955
"37";"5. PRIMÁRIO GOVERNO CENTRAL";2000-01-01;1481
"38";"5. PRIMÁRIO GOVERNO CENTRAL";2000-02-01;1476
"39";"5. PRIMÁRIO GOVERNO CENTRAL";2000-03-01;4014
"40";"5. PRIMÁRIO GOVERNO CENTRAL";2000-04-01;3937
"41";"5. PRIMÁRIO GOVERNO CENTRAL";2000-05-01;2882
"42";"5. PRIMÁRIO GOVERNO CENTRAL";2000-06-01;1641
"43";"5. PRIMÁRIO GOVERNO CENTRAL";2000-07-01;356
"44";"5. PRIMÁRIO GOVERNO CENTRAL";2000-08-01;3272
"45";"5. PRIMÁRIO GOVERNO CENTRAL";2000-09-01;1593
"46";"5. PRIMÁRIO GOVERNO CENTRAL";2000-10-01;1025
"47";"5. PRIMÁRIO GOVERNO CENTRAL";2000-11-01;1291
"48";"5. PRIMÁRIO GOVERNO CENTRAL";2000-12-01;-1986
"49";"5. PRIMÁRIO GOVERNO CENTRAL";2001-01-01;2556
"50";"5. PRIMÁRIO GOVERNO CENTRAL";2001-02-01;569
"51";"5. PRIMÁRIO GOVERNO CENTRAL";2001-03-01;3583
"52";"5. PRIMÁRIO GOVERNO CENTRAL";2001-04-01;6504
"53";"5. PRIMÁRIO GOVERNO CENTRAL";2001-05-01;3499
"54";"5. PRIMÁRIO GOVERNO CENTRAL";2001-06-01;1564
"55";"5. PRIMÁRIO GOVERNO CENTRAL";2001-07-01;1189
"56";"5. PRIMÁRIO GOVERNO CENTRAL";2001-08-01;2389
"57";"5. PRIMÁRIO GOVERNO CENTRAL";2001-09-01;1561
"58";"5. PRIMÁRIO GOVERNO CENTRAL";2001-10-01;2381
"59";"5. PRIMÁRIO GOVERNO CENTRAL";2001-11-01;785
"60";"5. PRIMÁRIO GOVERNO CENTRAL";2001-12-01;-4843
"61";"5. PRIMÁRIO GOVERNO CENTRAL";2002-01-01;6030
"62";"5. PRIMÁRIO GOVERNO CENTRAL";2002-02-01;2526
"63";"5. PRIMÁRIO GOVERNO CENTRAL";2002-03-01;2005
"64";"5. PRIMÁRIO GOVERNO CENTRAL";2002-04-01;5726
"65";"5. PRIMÁRIO GOVERNO CENTRAL";2002-05-01;1831
"66";"5. PRIMÁRIO GOVERNO CENTRAL";2002-06-01;1772
"67";"5. PRIMÁRIO GOVERNO CENTRAL";2002-07-01;1781
"68";"5. PRIMÁRIO GOVERNO CENTRAL";2002-08-01;1324
"69";"5. PRIMÁRIO GOVERNO CENTRAL";2002-09-01;6956
"70";"5. PRIMÁRIO GOVERNO CENTRAL";2002-10-01;3797
"71";"5. PRIMÁRIO GOVERNO CENTRAL";2002-11-01;1027
"72";"5. PRIMÁRIO GOVERNO CENTRAL";2002-12-01;-3199
